0,1,2,3,Intensity
17012,0,0,0,0
32372,0,0,0,0
47732,0,0,0,0
63092,0,0,0,0
13173,0,0,0,0
28533,0,0,0,0
43893,0,0,0,0
59253,0,0,0,0
9078,0,0,0,0
24438,0,0,0,0
39798,0,0,0,0
55158,0,0,0,0
4983,0,0,0,0
20343,0,0,0,0
35703,0,0,0,0
51063,0,0,0,0
888,0,0,0,0
16248,0,0,0,0
31608,0,0,0,0
46968,0,0,0,0
62328,0,0,0,0
12153,0,0,0,0
27513,0,0,0,0
42873,0,0,0,0
58233,0,0,0,0
8058,0,0,0,0
23418,0,0,0,0
38778,0,0,0,0
54138,0,0,0,0
3963,0,0,0,0
19323,0,0,0,0
34683,0,0,0,0
50043,0,0,0,0
65403,0,0,0,0
15228,0,0,0,0
30588,0,0,0,0
45948,0,0,0,0
61308,0,0,0,0
11133,0,0,0,0
26493,0,0,0,0
41853,0,0,0,0
57213,0,0,0,0
7038,0,0,0,0
22398,0,0,0,0
37758,0,0,0,0
53118,0,0,0,0
2943,0,0,0,0
18303,0,0,0,0
33663,0,0,0,0
49023,0,0,0,0
64383,0,0,0,0
14208,0,0,0,0
29568,0,0,0,0
44928,0,0,0,0
60288,0,0,0,0
10113,0,0,0,0
25473,0,0,0,0
40833,0,0,0,0
56193,0,0,0,0
6018,0,0,0,0
21378,0,0,0,0
36738,0,0,0,0
52098,0,0,0,0
1923,0,0,0,0
17283,0,0,0,0
32643,0,0,0,0
48003,0,0,0,0
63363,0,0,0,0
13188,0,0,0,0
28548,0,0,0,0
43908,0,0,0,0
59268,0,0,0,0
9093,0,0,0,0
24453,0,0,0,0
39813,0,0,0,0
55173,0,0,0,0
4998,0,0,0,0
20358,0,0,0,0
35718,0,0,0,0
51078,0,0,0,0
903,0,0,0,0
16263,0,0,0,0
31623,0,0,0,0
46983,0,0,0,0
62343,0,0,0,0
12168,0,0,0,0
27528,0,0,0,0
42888,0,0,0,0
58248,0,0,0,0
8073,0,0,0,0
23433,0,0,0,0
38793,0,0,0,0
54153,0,0,0,0
3978,0,0,0,0
19338,0,0,0,0
34698,0,0,0,0
50058,0,0,0,0
65418,0,0,0,0
15243,0,0,0,0
30603,0,0,0,0
45963,0,0,0,0
61323,0,0,0,0
11148,0,0,0,0
26508,0,0,0,0
41868,0,0,0,0
57228,0,0,0,0
7053,0,0,0,0
22413,0,0,0,0
37773,0,0,0,0
53133,0,0,0,0
2958,0,0,0,0
18318,0,0,0,0
33678,0,0,0,0
49038,0,0,0,0
64398,0,0,0,0
14223,0,0,0,0
29583,0,0,0,0
44943,0,0,0,0
60303,0,0,0,0
10128,0,0,0,0
25488,0,0,0,0
40848,0,0,0,0
56208,0,0,0,0
6033,0,0,0,0
21393,0,0,0,0
36753,0,0,0,0
52113,0,0,0,0
1938,0,0,0,0
17298,0,0,0,0
32658,0,0,0,0
48018,0,0,0,0
63378,0,0,0,0
13203,0,0,0,0
28563,0,0,0,0
43923,0,0,0,0
59283,0,0,0,0
9108,0,0,0,0
24468,0,0,0,0
39828,0,0,0,0
55188,0,0,0,0
5013,0,0,0,0
20373,0,0,0,0
35733,0,0,0,0
51093,0,0,0,0
918,0,0,0,0
16278,0,0,0,0
31638,0,0,0,0
46998,0,0,0,0
62358,0,0,0,0
12183,0,0,0,0
27543,0,0,0,0
42903,0,0,0,0
